model	notes	deploy_tps	ttft_s	tool_loop_ok	coding	budget_reasoning	ts
_qwen-3.6-35b-a3b-nvfp4	A3B mixed FP8/NVFP4, MTP n=3	67.5	0.11	True	0/5	442	23:52
nemotron-3-nano-30b-a3b-nvfp4	A3B NVFP4, no MTP in recipe	59.5	0.07	True	0/5	442	23:57
